Year,State,EV_R,EV_D,Population,Total_VAP,Total_VAC,Total_REG,Total_Vote,Perc_VAP,Perc_VAC,Perc_REG,D_placed,R_placed,O_placed,Margin,Perc_Margin,Vote_Perc_D,Vote_Perc_R,Vote_Perc_T,Vote_Perc_O,Vote_D,Vote_R,Vote_T,Vote_O
2000,D. C.,0,2,572059,457727,411044,354410,201894,44.10,49.10,57.00,1,2,3,153850,76.20,85.16,8.95,5.24,0.65,171923,18073,10576,1322
2000,Florida,25,0,15982378,12347806,11081542,8752717,5963110,48.30,53.80,68.10,2,1,3,537,0.01,48.84,48.85,1.63,0.68,2912253,2912790,97488,40579
2000,Georgia,13,0,8186453,6020679,5675210,3856676,2596804,43.10,45.80,67.30,2,1,4,303490,11.69,42.98,54.67,0.52,1.83,1116230,1419720,13432,47422
2000,Hawaii,0,4,1211537,917065,842507,637349,367951,40.10,43.70,57.70,1,2,3,67441,18.33,55.79,37.46,5.88,0.87,205286,137845,21623,3197
2000,Idaho,4,0,1293953,925822,891064,728085,501621,54.20,56.30,68.90,2,1,3,198300,39.53,27.64,67.17,2.45,2.74,138637,336937,12292,13755
2000,Illinois,0,22,12419293,9180064,8387117,7129026,4742123,51.70,56.50,66.50,1,2,3,569605,12.01,54.60,42.58,2.19,0.63,2589026,2019421,103759,29917
2000,Indiana,12,0,6080485,4507679,4409194,3994910,2199302,48.80,49.90,55.10,2,1,3,343856,15.63,41.01,56.65,0.84,1.50,901980,1245836,18531,32955
2000,Iowa,0,7,2926324,2193990,2143474,1841346,1315563,60.00,61.40,71.40,1,2,3,4144,0.31,48.54,48.22,2.23,1.01,638517,634373,29374,13299
2000,Kansas,6,0,2688418,1977198,1902932,1623623,1072216,54.20,56.30,66.00,2,1,3,223056,20.80,37.24,58.04,3.37,1.35,399276,622332,36086,14522
2000,Kentucky,8,0,4041769,3047928,3003225,2556815,1544187,50.70,51.40,60.40,2,1,3,233594,15.13,41.37,56.50,1.50,0.62,638898,872492,23192,9605
2000,Louisiana,9,0,4468976,3250523,3198079,2796551,1765656,54.30,55.20,63.10,2,1,3,135527,7.68,44.88,52.55,1.16,1.41,792344,927871,20473,24968
2000,Maine,0,4,1274923,973945,959368,947189,651817,66.90,67.90,68.80,1,2,3,33335,5.11,49.09,43.97,5.70,1.25,319951,286616,37127,8123
2000,Maryland,0,10,5296486,3943067,3698493,2719636,2025480,51.40,54.80,74.50,1,2,3,331985,16.39,56.57,40.18,2.65,0.60,1145782,813797,53768,12133
2000,Massachusetts,0,12,6349097,4853130,4471379,4008627,2702984,55.70,60.50,67.40,1,2,3,737985,27.30,59.80,32.50,6.42,1.27,1616487,878502,173564,34431
2000,Michigan,0,18,9938444,7345849,7106102,6859332,4232711,57.60,59.60,61.70,1,2,3,217279,5.13,51.28,46.14,1.99,0.59,2170418,1953139,84165,24989
2000,Minnesota,0,10,4919479,3632940,3501681,3265324,2438685,67.10,69.60,74.70,1,2,3,58607,2.40,47.91,45.50,5.20,1.40,1168266,1109659,126696,34064
2000,Mississippi,7,0,2844658,2070254,2049386,1739858,994926,48.10,48.50,57.20,2,1,3,168266,16.91,40.70,57.62,0.82,0.86,404964,573230,8126,8606
2000,Missouri,11,0,5595211,4169109,4094716,3860672,2359892,56.60,57.60,61.10,2,1,3,78786,3.34,47.08,50.42,1.63,0.86,1111138,1189924,38515,20315
2000,Montana,3,0,902195,672251,666228,698260,410997,61.10,61.70,58.90,2,1,3,103052,25.07,33.36,58.44,5.95,2.25,137126,240178,24437,9256
2000,Nebraska,5,0,1711263,1261648,1219908,1085217,697019,55.20,57.10,64.20,2,1,3,202082,28.99,33.25,62.25,3.52,0.98,231780,433862,24540,6837
2000,Nevada,4,0,1998257,1488526,1317914,874304,608970,40.90,46.20,69.70,2,1,3,21597,3.55,45.98,49.52,2.46,2.04,279978,301575,15008,12409
2000,New Hampshire,4,0,1235786,926885,902521,854694,569081,61.40,63.10,66.60,2,1,3,7211,1.27,46.80,48.07,3.90,1.23,266348,273559,22198,6976
2000,New Jersey,0,15,8414350,6332876,5645884,4710768,3187226,50.30,56.50,67.70,1,2,3,504677,15.83,56.13,40.29,2.97,0.62,1788850,1284173,94554,19649
2000,New Mexico,0,5,1819046,1311478,1230736,973533,598605,45.60,48.60,61.50,1,2,3,366,0.06,47.91,47.85,3.55,0.69,286783,286417,21251,4154
2000,New York,0,33,18976457,14302266,12476046,11262816,6831178,47.80,54.80,60.70,1,2,3,1708115,25.00,60.22,35.22,3.58,0.99,4113791,2405676,244398,67313
2000,North Carolina,14,0,8049313,6087996,5820423,5122123,2911262,47.80,50.00,56.80,2,1,0,373471,12.83,43.20,56.03,0.00,0.77,1257692,1631163,0,22407
2000,North Dakota,3,0,642200,481301,475801,0,288267,59.90,60.60,-,2,1,3,79568,27.60,33.05,60.66,3.29,3.00,95284,174852,9497,8634
2000,Ohio,21,0,11353140,8467999,8322126,7535186,4705457,55.60,56.50,62.40,2,1,3,165019,3.51,46.46,49.97,2.50,1.07,2186190,2351209,117857,50201
2000,Oklahoma,8,0,3450654,2560390,2487713,2233602,1234229,48.20,49.60,55.30,2,1,0,270061,21.88,38.43,60.31,0.00,1.27,474276,744337,0,15616
2000,Oregon,0,7,3421399,2577129,2415985,1954006,1533968,59.50,63.50,78.50,1,2,3,6765,0.44,46.96,46.52,5.04,1.48,720342,713577,77357,22692
2000,Pennsylvania,0,23,12281054,9362066,9147224,7781997,4913119,52.50,53.70,63.10,1,2,3,204840,4.17,50.60,46.43,2.10,0.87,2485967,2281127,103392,42633
2000,Rhode Island,0,4,1048319,800810,746333,671612,409112,51.10,54.80,60.90,1,2,3,118953,29.08,60.99,31.91,6.12,0.98,249508,130555,25052,3997
2000,South Carolina,8,0,4012012,3002919,2939606,2266199,1383777,46.10,47.10,61.10,2,1,3,220387,15.93,40.91,56.83,1.47,0.80,566039,786426,20279,11033
2000,South Dakota,3,0,754844,552118,545573,471152,316269,57.30,58.00,67.10,2,1,0,71896,22.73,37.56,60.30,0.00,2.14,118804,190700,0,6765
2000,Tennessee,11,0,5689283,4292047,4202518,3181108,2076181,48.40,49.40,65.30,2,1,3,80229,3.86,47.28,51.15,0.95,0.61,981720,1061949,19781,12731
2000,Texas,32,0,20851820,14977837,13299845,10267639,6407637,42.80,48.20,62.40,2,1,3,1365893,21.32,37.98,59.30,2.15,0.57,2433746,3799639,137994,36258
2000,Utah,5,0,2233169,1516338,1425658,1123238,770754,50.80,54.10,68.60,2,1,3,312043,40.49,26.34,66.83,4.65,2.17,203053,515096,35850,16755
2000,Vermont,0,3,608827,461248,451982,427354,294308,63.80,65.10,68.90,1,2,3,29247,9.94,50.63,40.70,6.92,1.75,149022,119775,20374,5137
2000,Virginia,13,0,7078515,5342691,5051517,3770872,2739447,51.30,54.20,72.60,2,1,3,220200,8.04,44.44,52.47,2.17,0.92,1217290,1437490,59398,25269
2000,Washington,0,11,5894121,4384341,4088019,3335714,2488745,56.80,60.90,74.60,1,2,3,138788,5.58,50.13,44.56,4.14,1.17,1247652,1108864,103002,29227
2000,West Virginia,5,0,1808344,1406569,1398620,1066349,648124,46.10,46.30,60.80,2,1,3,40978,6.32,45.59,51.92,1.65,0.84,295497,336475,10680,5472
2000,Wisconsin,0,11,5363675,3996289,3900470,0,2598607,65.00,66.60,-,1,2,3,5708,0.22,47.83,47.61,3.62,0.93,1242987,1237279,94070,24271
2000,Wyoming,3,0,493782,365685,360316,220012,218351,59.70,60.60,99.20,2,1,3,87466,40.06,27.70,67.76,2.12,2.43,60481,147947,4625,5298
1996,Alabama,9,0,4331102,3220000,0,2470766,1534349,47.70,-,62.10,2,1,3,106879,6.97,43.16,50.12,6.01,0.72,662165,769044,92149,10991
1996,Alaska,3,0,608569,425000,0,414815,241620,56.90,-,58.20,2,1,3,42366,17.53,33.27,50.80,10.90,5.03,80380,122746,26333,12161
1996,Arizona,0,8,4586940,3145000,0,2244672,1404405,44.70,-,62.60,1,2,3,31215,2.22,46.52,44.29,7.98,1.21,653288,622073,112072,16972
1996,Arkansas,0,6,2572109,1873000,0,1369459,884262,47.20,-,64.60,1,2,3,149755,16.94,53.74,36.80,7.90,1.56,475171,325416,69884,13791
1996,California,0,54,32018834,22826000,0,15662075,10019484,43.90,-,64.00,1,2,3,1291455,12.89,51.10,38.21,6.96,3.73,5119835,3828380,697847,373422
1996,Colorado,8,0,3919972,2862000,0,2284822,1510704,52.80,-,66.10,2,1,3,20696,1.37,44.43,45.80,6.59,3.18,671152,691848,99629,48075
1996,Connecticut,0,8,3336685,2479000,0,1881323,1392614,56.20,-,74.00,1,2,3,252631,18.14,52.83,34.69,10.02,2.46,735740,483109,139523,34242
1996,Delaware,0,3,740977,548000,0,419695,271084,49.50,-,64.60,1,2,3,41293,15.23,51.78,36.54,10.59,1.09,140355,99062,28719,2948
1996,D. C.,0,3,572377,422000,0,361419,185726,44.00,-,51.40,1,2,4,140881,75.85,85.19,9.34,1.94,3.53,158220,17339,3611,6556
1996,Florida,0,25,14853360,11043000,0,8077877,5303794,48.00,-,65.70,1,2,3,302334,5.70,48.02,42.32,9.12,0.54,2546870,2244536,483870,28518
1996,Georgia,13,0,7501069,5418000,0,3810028,2299071,42.40,-,60.30,2,1,3,26994,1.17,45.84,47.01,6.37,0.78,1053849,1080843,146337,18042
1996,Hawaii,0,4,1203755,890000,0,544916,360120,40.50,-,66.10,1,2,3,91069,25.29,56.93,31.64,7.60,3.83,205012,113943,27358,13807
1996,Idaho,4,0,1203083,858000,0,700430,491719,57.30,-,70.20,2,1,3,91152,18.54,33.65,52.18,12.71,1.46,165443,256595,62518,7163
1996,Illinois,0,22,12101997,8754000,0,6663301,4311391,49.30,-,64.70,1,2,3,754723,17.51,54.32,36.81,8.03,0.84,2341744,1587021,346408,36218
1996,Indiana,12,0,5906013,4374000,0,3488088,2135842,48.80,-,61.20,2,1,3,119269,5.58,41.55,47.13,10.50,0.82,887424,1006693,224299,17426
1996,Iowa,0,7,2880000,2138000,0,1757484,1234075,57.70,-,70.20,1,2,3,127614,10.34,50.26,39.92,8.52,1.30,620258,492644,105159,16014
1996,Kansas,6,0,2614554,1897000,0,1439999,1074300,56.60,-,74.60,2,1,3,195586,18.21,36.08,54.29,8.62,1.00,387659,583245,92639,10757
1996,Kentucky,0,8,3919535,2928000,0,2391190,1388708,47.40,-,58.10,1,2,3,13331,0.96,45.84,44.88,8.67,0.61,636614,623283,120396,8415
1996,Louisiana,0,9,4398877,3131000,0,2559352,1783959,57.00,-,69.70,1,2,3,215251,12.07,52.01,39.94,6.91,1.13,927837,712586,123293,20243
1996,Maine,0,4,1249060,945000,0,1001292,605897,64.10,-,60.50,1,2,3,126410,20.86,51.62,30.76,14.19,3.43,312788,186378,85970,20761
1996,Maryland,0,10,5111986,3820000,0,2577200,1780870,46.60,-,69.10,1,2,3,284677,15.99,54.25,38.27,6.50,0.97,966207,681530,115812,17321
1996,Massachusetts,0,12,6179756,4649000,0,3462632,2556785,55.00,-,73.80,1,2,3,853656,33.39,61.47,28.09,8.89,1.55,1571763,718107,227217,39698
1996,Michigan,0,18,9758645,7072000,0,6677079,3848844,54.40,-,57.60,1,2,3,508441,13.21,51.69,38.48,8.75,1.07,1989653,1481212,336670,41309
1996,Minnesota,0,10,4712827,3412001,0,3067802,2192640,64.30,-,71.50,1,2,3,353962,16.14,51.10,34.96,11.75,2.19,1120438,766476,257704,48022
1996,Mississippi,7,0,2748085,1967000,0,1715913,893857,45.40,-,52.10,2,1,3,45816,5.13,44.08,49.21,5.84,0.87,394022,439838,52222,7775
1996,Missouri,0,11,5431553,3995000,0,3342849,2158065,54.00,-,64.60,1,2,3,135919,6.30,47.54,41.24,10.06,1.16,1025935,890016,217188,24926
1996,Montana,3,0,886254,656000,0,590751,407261,62.10,-,68.90,2,1,3,11730,2.88,41.23,44.11,13.56,1.09,167922,179652,55229,4458
1996,Nebraska,5,0,1673740,1211000,0,1015056,677415,55.90,-,66.70,2,1,3,126706,18.70,34.95,53.65,10.52,0.87,236761,363467,71278,5909
1996,Nevada,0,4,1666320,1212000,0,778092,464279,38.30,-,59.70,1,2,3,4730,1.02,43.93,42.91,9.47,3.68,203974,199244,43986,17075
1996,New Hampshire,0,4,1174719,871000,0,754778,499175,57.30,-,66.10,1,2,3,49682,9.95,49.32,39.37,9.69,1.61,246214,196532,48390,8039
1996,New Jersey,0,15,8149596,6034000,0,4320866,3075807,51.00,-,71.20,1,2,3,549251,17.86,53.72,35.86,8.52,1.89,1652329,1103078,262134,58266
1996,New Mexico,0,5,1752326,1224000,0,837794,556074,45.40,-,66.40,1,2,3,40744,7.33,49.18,41.86,5.80,3.16,273495,232751,32257,17571
1996,New York,0,33,18588460,13564000,0,10162156,6316129,46.60,-,62.20,1,2,3,1822685,28.86,59.47,30.61,7.97,1.95,3756177,1933492,503458,123002
